oficinasolicita,oficinaacepta,usuariosolicita,usuarioacepta,comprobantetransferencia,estadotransferencia,codproducto,cantidad_enteros,cantidad_fraccion,sumaventacajas,sumavalorventa,tipo_venta_transferencia,aniomes
2169,870,AEMERA,GEINSUASTI,2169-501-0000826,ACEPTADA,0000103622,2.0,2.0,4.0,12.7464,VENTA TOTAL,202404
352,521,AJIMENEZR,MCARMIJOS,352-001-0034925,ACEPTADA,0000140892,2.0,2.0,6.0,757.536,VENTA TOTAL,202404
1791,521,PAARMIJOSP,AEZEAS,1791-001-0005125,ACEPTADA,0000104281,4.0,4.0,,,SIN VENTA,202404
369,521,PJCARRION,AEZEAS,369-002-0024799,ACEPTADA,0000109550,2.0,2.0,,,SIN VENTA,202404
369,521,PJCARRION,AEZEAS,369-002-0024799,ACEPTADA,0000137387,2.0,200.0,,,SIN VENTA,202404
1907,521,NYMALDONA,MCSEGARRA,1907-500-0002752,ACEPTADA,24186,2.0,2.0,,,SIN VENTA,202404
3170,521,YKGUAJALA,AEZEAS,3170-502-0001166,ACEPTADA,0000142912,1.0,1.0,,,SIN VENTA,202404
1867,521,KIBAUTISTA,MCARMIJOS,1867-502-0006250,ACEPTADA,0000124911,1.0,1.0,1.0,217.207,VENTA TOTAL,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,05154,1.0,20.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000113439,1.0,28.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000132847,2.0,2.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000128910,1.0,1.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,16490,4.0,120.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000130687,1.0,60.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000105576,1.0,30.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000108954,1.0,1.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000103755,1.0,30.0,0.03333333333333333,0.7007,VENTA PARCIAL,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000128559,1.0,60.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000128981,1.0,1.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000130515,1.0,30.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000117410,1.0,1.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,07602,2.0,60.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000126619,1.0,40.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,16517,1.0,1.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000120494,1.0,30.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000121682,3.0,180.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000124299,2.0,2.0,,,SIN VENTA,202404
2122,1906,JFCUMBICUS,JKGRANDA,2122-502-0002491,ACEPTADA,0000131755,1.0,1.0,,,SIN VENTA,202404
1791,081,PAARMIJOSP,EGCARRION,1791-001-0005029,ACEPTADA,0000139504,2.0,2.0,,,SIN VENTA,202404
390,1733,MGHURTADO,,390-002-0032030,ACEPTADA,0000132990,1.0,1.0,1.0,26.09,VENTA TOTAL,202404
390,1733,PFCRIOLLOM,,390-002-0032142,ACEPTADA,0000121470,1.0,1.0,1.0,34.78,VENTA TOTAL,202404
485,1733,KTMORENO,LAABAD,485-001-0023878,ACEPTADA,0000138767,1.2,12.0,1.2,60.9096,VENTA TOTAL,202404
352,1733,AJIMENEZR,CEJIMENEZR,352-001-0034981,ACEPTADA,0000120230,2.0,2.0,,,SIN VENTA,202404
316,1733,LEGONZALEB,CEJIMENEZR,316-002-0004911,ACEPTADA,0000120230,1.0,1.0,,,SIN VENTA,202404
1985,1733,JDSAMANIEG,CEJIMENEZR,1985-501-0002296,ACEPTADA,0000132114,1.0,1.0,3.0,37.6156,VENTA TOTAL,202404
2128,1733,JACABRERAM,CEJIMENEZR,2128-500-0000676,ACEPTADA,0000130675,1.6800000000000002,84.0,2.04,7.8642,VENTA TOTAL,202404
352,1921,EAJARAMILL,JDMENDIETA,352-002-0035270,ACEPTADA,12907,2.0,20.0,,,SIN VENTA,202404
1791,369,PAARMIJOSP,,1791-001-0005122,ACEPTADA,0000111199,1.3333333333333333,8.0,1.6666666666666667,31.038,VENTA TOTAL,202404
1791,369,EJSIGCHO,MGVASQUEZ,1791-001-0005045,ACEPTADA,0000137732,1.0,30.0,0.6666666666666666,19.36,VENTA PARCIAL,202404
1791,369,DKROSADO,BRESPINOZA,1791-001-0005041,ACEPTADA,0000142689,1.0,10.0,2.0,15.48,VENTA TOTAL,202404
1791,369,DKROSADO,,1791-002-0005106,ACEPTADA,0000135309,1.0,1.0,1.0,17.1857,VENTA TOTAL,202404
1791,369,EJSIGCHO,MGVASQUEZ,1791-002-0005033,ACEPTADA,0000137346,2.0,2.0,3.0,49.8,VENTA TOTAL,202404
1791,369,DKROSADO,PJCARRION,1791-002-0005107,ACEPTADA,0000124963,0.2,6.0,1.0,42.24,VENTA TOTAL,202404
1791,369,DKROSADO,ACVASQUEZ,1791-002-0005059,ANULADA,0000120199,1.0,1.0,,,ANULADA,202404
1791,369,DKROSADO,BRESPINOZA,1791-001-0005041,ACEPTADA,0000128127,1.0,1.0,1.0,2.7057,VENTA TOTAL,202404
1791,369,DKROSADO,ACVASQUEZ,1791-002-0005059,ANULADA,0000121192,5.0,70.0,,,ANULADA,202404
1791,369,DKROSADO,PJCARRION,1791-002-0005102,ACEPTADA,0000139588,0.7,14.0,3.0,33.4656,VENTA TOTAL,202404
1791,369,DKROSADO,ACVASQUEZ,1791-001-0005032,ACEPTADA,0000138201,1.0,28.0,1.0,11.655,VENTA TOTAL,202404
1791,369,EJSIGCHO,MGVASQUEZ,1791-001-0005117,ACEPTADA,0000127040,1.0,1.0,1.0,26.9136,VENTA TOTAL,202404
1791,369,EJSIGCHO,,1791-001-0005096,ACEPTADA,10766,0.75,15.0,0.75,14.712,VENTA TOTAL,202404
1791,369,PAARMIJOSP,MGVASQUEZ,1791-001-0005123,ACEPTADA,0000124299,1.0,1.0,,,SIN VENTA,202404
1791,369,DKROSADO,MGVASQUEZ,1791-001-0005135,ACEPTADA,0000141278,1.0,1.0,1.0,16.5089,VENTA TOTAL,202404
1915,369,EDALVARADO,MGVASQUEZ,1915-500-0000665,ACEPTADA,04072,16.0,16.0,40.0,121.67999999999999,VENTA TOTAL,202404
1915,369,EDALVARADO,MGVASQUEZ,1915-500-0000666,ACEPTADA,0000122183,1.0,50.0,,,SIN VENTA,202404
1833,369,CIALVARADO,PJCARRION,1833-051-0004356,ACEPTADA,0000119205,1.0,10.0,1.0,31.4,VENTA TOTAL,202404
1833,369,MEROMERO,MGVASQUEZ,1833-051-0004374,ACEPTADA,07363,1.0,14.0,,,SIN VENTA,202404
1833,369,CIALVARADO,,1833-051-0004335,ACEPTADA,0000133354,1.0,1.0,1.0,20.0,VENTA TOTAL,202404
1833,369,MEROMERO,MLCHAMBA,1833-052-0004347,ACEPTADA,04055,1.0,1.0,2.0,25.704,VENTA TOTAL,202404
1833,369,CIALVARADO,,1833-051-0004337,ACEPTADA,0000128167,1.0,1.0,1.0,19.0,VENTA TOTAL,202404
1833,369,CIALVARADO,,1833-052-0004382,ACEPTADA,0000129810,1.0,1.0,1.0,28.95,VENTA TOTAL,202404
1833,369,MEROMERO,MGVASQUEZ,1833-051-0004372,ACEPTADA,0000135570,1.0,30.0,1.0,15.957,VENTA TOTAL,202404
1833,369,MEROMERO,,1833-051-0004364,ACEPTADA,02329,1.0,1.0,1.0,6.5565,VENTA TOTAL,202404
1833,369,CIALVARADO,PJCARRION,1833-052-0004417,ACEPTADA,14177,0.6666666666666666,20.0,0.5,24.453,VENTA PARCIAL,202404
1833,369,CIALVARADO,,1833-051-0004393,ACEPTADA,16370,2.0,2.0,6.0,3.46,VENTA TOTAL,202404
1833,369,CIALVARADO,MGVASQUEZ,1833-052-0004377,ACEPTADA,30367,1.0,30.0,1.0,32.736,VENTA TOTAL,202404
1833,369,MEROMERO,MLCHAMBA,1833-052-0004347,ACEPTADA,02341,7.0,7.0,10.0,11.122,VENTA TOTAL,202404
1833,369,MEROMERO,MLCHAMBA,1833-052-0004347,ACEPTADA,0000132070,1.0,1.0,1.0,9.24,VENTA TOTAL,202404
1833,369,CIALVARADO,MLCHAMBA,1833-052-0004415,ANULADA,14177,0.6666666666666666,20.0,,,ANULADA,202404
1833,369,CIALVARADO,,1833-052-0004397,ACEPTADA,0000131986,1.0,30.0,1.0,40.5,VENTA TOTAL,202404
1833,369,MEROMERO,MGVASQUEZ,1833-051-0004365,ACEPTADA,0000134394,1.0,1.0,,,SIN VENTA,202404
1833,369,CIALVARADO,,1833-051-0004335,ACEPTADA,0000135663,1.0,60.0,2.0,89.2896,VENTA TOTAL,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-500-0001195,ANULADA,0000137387,1.0,100.0,,,ANULADA,202404
3170,369,YKGUAJALA,PJCARRION,3170-502-0001202,ACEPTADA,0000128673,1.0,1.0,,,SIN VENTA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001216,ANULADA,0000115909,1.0,20.0,,,ANULADA,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-500-0001188,ACEPTADA,0000122049,1.0,30.0,,,SIN VENTA,202404
3170,369,YKGUAJALA,ACVASQUEZ,3170-500-0001127,ACEPTADA,01384,1.0,1.0,,,SIN VENTA,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001220,ACEPTADA,0000115909,1.0,20.0,,,SIN VENTA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001216,ANULADA,0000142665,0.6,30.0,,,ANULADA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001219,ANULADA,0000142665,0.6,30.0,,,ANULADA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-502-0001228,ACEPTADA,00738,1.0,1.0,1.0,3.996,VENTA TOTAL,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001220,ACEPTADA,05935,1.0,30.0,,,SIN VENTA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-502-0001117,ACEPTADA,0000133380,1.0,1.0,1.0,18.9,VENTA TOTAL,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001163,ACEPTADA,0000123953,1.0,1.0,,,SIN VENTA,202404
3170,369,YKGUAJALA,MLCHAMBA,3170-502-0001160,ACEPTADA,0000143445,1.0,1.0,,,SIN VENTA,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001220,ACEPTADA,0000142665,0.6,30.0,,,SIN VENTA,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001175,ACEPTADA,0000123486,1.0,1.0,1.0,37.6244,VENTA TOTAL,202404
3170,369,MJVILLAFUE,PJCARRION,3170-502-0001232,ACEPTADA,0000141400,1.0,1.0,,,SIN VENTA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001219,ANULADA,0000115909,1.0,20.0,,,ANULADA,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001216,ANULADA,05935,1.0,30.0,,,ANULADA,202404
3170,369,YKGUAJALA,MLCHAMBA,3170-502-0001162,ACEPTADA,0000142448,0.06666666666666667,2.0,0.03333333333333333,1.76,VENTA PARCIAL,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001142,ACEPTADA,09272,2.0,2.0,4.0,77.3808,VENTA TOTAL,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001199,ACEPTADA,0000128910,7.0,7.0,7.0,700.0,VENTA TOTAL,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001219,ANULADA,05935,1.0,30.0,,,ANULADA,202404
3170,369,MJVILLAFUE,ACVASQUEZ,3170-501-0001155,ACEPTADA,0000134564,1.0,15.0,1.0,27.183,VENTA TOTAL,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001203,ACEPTADA,0000137387,1.0,100.0,0.1,11.2,VENTA PARCIAL,202404
3170,369,YKGUAJALA,ACVASQUEZ,3170-500-0001179,ACEPTADA,0000133822,0.5,10.0,2.0,12.948,VENTA TOTAL,202404
3170,369,MJVILLAFUE,PJCARRION,3170-501-0001146,ACEPTADA,0000130985,1.0,30.0,1.0,25.2,VENTA TOTAL,202404
3170,369,YKGUAJALA,ACVASQUEZ,3170-500-0001179,ACEPTADA,0000143190,1.0,10.0,1.0,7.04,VENTA TOTAL,202404
3170,369,YKGUAJALA,MLCHAMBA,3170-500-0001196,ANULADA,0000137387,1.0,100.0,,,ANULADA,202404
3170,369,MJVILLAFUE,ACVASQUEZ,3170-501-0001172,ACEPTADA,0000134366,1.0,1.0,1.0,24.465,VENTA TOTAL,202404
3170,369,YKGUAJALA,MGVASQUEZ,3170-502-0001198,ANULADA,0000128910,7.0,7.0,,,ANULADA,202404
3170,369,YKGUAJALA,MLCHAMBA,3170-502-0001165,ACEPTADA,08676,1.0,1.0,1.0,7.6472,VENTA TOTAL,202404
1842,369,RYYAGUANA,MLCHAMBA,1842-500-0005571,ACEPTADA,0000139191,1.0,1.0,1.0,13.425,VENTA TOTAL,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005369,ACEPTADA,0000107862,1.0,1.0,1.0,5.915,VENTA TOTAL,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005304,ACEPTADA,0000128838,2.0,20.0,3.0,45.6,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005307,ACEPTADA,12729,1.0,1.0,1.0,2.944,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005582,ACEPTADA,0000122353,1.0,1.0,1.0,5.952,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005469,ACEPTADA,0000132252,1.0,1.0,1.0,2.46,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005520,ACEPTADA,0000136768,0.3,6.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,MLCHAMBA,1842-501-0005327,ANULADA,0000136672,1.0,1.0,,,ANULADA,202404
1842,369,JAQUINTERO,PJCARRION,1842-500-0005224,ACEPTADA,12832,0.3,9.0,1.0,14.6088,VENTA TOTAL,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005545,ACEPTADA,0000115909,2.0,40.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005504,ACEPTADA,0000119109,1.0,1.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-500-0005431,ACEPTADA,0000134366,1.0,1.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005519,ANULADA,06150,1.0,1.0,,,ANULADA,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005554,ACEPTADA,0000136258,2.0,2.0,5.0,21.875,VENTA TOTAL,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005324,ACEPTADA,13835,2.0,2.0,2.0,11.04,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-501-0005415,ACEPTADA,21184,1.0,1.0,1.0,1.4929,VENTA TOTAL,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-500-0005534,ACEPTADA,05705,1.0,1.0,1.0,12.3225,VENTA TOTAL,202404
1842,369,JAQUINTERO,ACVASQUEZ,1842-500-0005382,ACEPTADA,13781,0.12,12.0,0.12,1.836,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005574,ACEPTADA,0000123547,0.2,2.0,0.2,1.7312,VENTA TOTAL,202404
1842,369,GCLOPEZ,MLCHAMBA,1842-501-0005218,ACEPTADA,0000106087,1.0,1.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005537,ACEPTADA,0000100304,0.14285714285714285,4.0,0.14285714285714285,2.7856,VENTA TOTAL,202404
1842,369,GCLOPEZ,MLCHAMBA,1842-501-0005374,ACEPTADA,0000140693,1.0,30.0,,,SIN VENTA,202404
1842,369,RYYAGUANA,,1842-501-0005603,ACEPTADA,08623,1.0,5.0,1.0,2.805,VENTA TOTAL,202404
1842,369,GCLOPEZ,ACVASQUEZ,1842-501-0005246,ACEPTADA,0000136661,1.0,1.0,1.0,15.4286,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005508,ACEPTADA,10468,1.0,10.0,1.0,7.984,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-501-0005411,ACEPTADA,0000116280,2.142857142857143,30.0,2.142857142857143,27.3,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005469,ACEPTADA,0000107862,1.0,1.0,1.0,5.395,VENTA TOTAL,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005344,ACEPTADA,0000110327,1.0,30.0,1.0,56.37,VENTA TOTAL,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-500-0005446,ACEPTADA,0000108755,1.0,1.0,1.0,12.0,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005286,ACEPTADA,0000137212,0.041666666666666664,1.0,0.08333333333333333,4.183,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-500-0005339,ACEPTADA,07054,3.0,24.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,,1842-501-0005239,ACEPTADA,13737,1.0,1.0,1.0,3.08,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005441,ANULADA,05646,1.0,100.0,,,ANULADA,202404
1842,369,RYYAGUANA,MLCHAMBA,1842-500-0005560,ACEPTADA,0000142762,1.0,30.0,1.0,26.241,VENTA TOTAL,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005306,ACEPTADA,04083,1.0,1.0,1.0,4.9353,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005494,ACEPTADA,0000139184,1.0,1.0,1.0,5.4524,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-501-0005406,ACEPTADA,0000136412,1.0,10.0,2.0,16.78,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005518,ACEPTADA,0000140996,0.08333333333333333,1.0,0.08333333333333333,2.24,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005505,ACEPTADA,0000131581,1.0,1.0,1.0,32.5417,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005425,ACEPTADA,0000143420,1.0,1.0,2.0,18.974800000000002,VENTA TOTAL,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-500-0005446,ACEPTADA,05646,1.0,100.0,1.0,12.24,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-501-0005409,ACEPTADA,0000121678,1.0,1.0,1.0,6.072,VENTA TOTAL,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005365,ACEPTADA,0000142994,1.0,10.0,0.8,10.008,VENTA PARCIAL,202404
1842,369,JAQUINTERO,,1842-500-0005586,ACEPTADA,02233,1.0,1.0,1.0,5.31,VENTA TOTAL,202404
1842,369,GCLOPEZ,,1842-501-0005329,ACEPTADA,0000136672,1.0,1.0,1.0,20.97,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005338,ACEPTADA,0000137046,1.0,1.0,1.0,6.9222,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-501-0005405,ACEPTADA,0000128761,1.0,1.0,1.0,12.046,VENTA TOTAL,202404
1842,369,GCLOPEZ,MLCHAMBA,1842-501-0005323,ACEPTADA,0000142903,1.0,1.0,1.0,20.3251,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-500-0005241,ACEPTADA,0000113440,1.0,28.0,1.0,31.0114,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005250,ACEPTADA,06147,1.0,1.0,1.0,5.6335,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005484,ACEPTADA,0000132389,2.0,2.0,2.0,0.9566,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005552,ACEPTADA,0000122494,1.0,14.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,,1842-501-0005279,ACEPTADA,0000127050,2.1666666666666665,13.0,2.1666666666666665,28.054,VENTA TOTAL,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005597,ACEPTADA,0000143452,2.0,20.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005501,ACEPTADA,0000131110,1.0,1.0,1.0,13.8,VENTA TOTAL,202404
1842,369,JAQUINTERO,ACVASQUEZ,1842-500-0005342,ACEPTADA,0000131159,0.16666666666666666,2.0,0.16666666666666666,0.8928,VENTA TOTAL,202404
1842,369,RYYAGUANA,MLCHAMBA,1842-500-0005570,ACEPTADA,0000141372,2.0,2.0,2.0,17.6,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005508,ACEPTADA,0000130673,1.0,6.0,1.0,13.488,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005358,ACEPTADA,0000106013,1.0,1.0,2.0,8.1875,VENTA TOTAL,202404
1842,369,JAQUINTERO,BRESPINOZA,1842-500-0005252,ACEPTADA,0000118344,2.0,10.0,3.0,43.5,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005530,ANULADA,05705,1.0,1.0,,,ANULADA,202404
1842,369,GCLOPEZ,,1842-501-0005515,ACEPTADA,0000127041,1.0,1.0,1.0,40.374,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-501-0005311,ACEPTADA,22189,1.0,1.0,10.0,1.932,VENTA TOTAL,202404
1842,369,GCLOPEZ,,1842-501-0005372,ACEPTADA,0000140904,1.0,10.0,1.0,13.99,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-501-0005416,ACEPTADA,05950,1.0,30.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005303,ACEPTADA,17400,0.14,7.0,0.14,1.5904,VENTA TOTAL,202404
1842,369,GCLOPEZ,MLCHAMBA,1842-501-0005565,ACEPTADA,0000130830,0.2,1.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005310,ACEPTADA,0000139229,1.0,14.0,1.0,14.8274,VENTA TOTAL,202404
1842,369,RYYAGUANA,,1842-500-0005561,ACEPTADA,0000141751,1.0,1.0,4.0,20.0,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005506,ACEPTADA,0000111141,1.0,1.0,1.0,21.6125,VENTA TOTAL,202404
1842,369,JAQUINTERO,BRESPINOZA,1842-500-0005254,ACEPTADA,0000118344,1.0,5.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005520,ACEPTADA,0000106794,1.0,1.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-501-0005422,ACEPTADA,0000100048,1.0,1.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005516,ACEPTADA,0000135903,1.0,1.0,1.0,33.558,VENTA TOTAL,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-501-0005568,ACEPTADA,0000105279,0.05,1.0,0.1,1.3198,VENTA TOTAL,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005278,ANULADA,0000127050,2.1666666666666665,13.0,,,ANULADA,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005462,ACEPTADA,0000123059,1.0,30.0,1.0,35.3755,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005518,ACEPTADA,0000139184,1.0,1.0,1.0,5.2622,VENTA TOTAL,202404
1842,369,RYYAGUANA,BRESPINOZA,1842-500-0005572,ACEPTADA,0000129083,1.0,1.0,1.0,12.35,VENTA TOTAL,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005463,ACEPTADA,05154,0.2,4.0,1.5,29.988,VENTA TOTAL,202404
1842,369,JAQUINTERO,PJCARRION,1842-501-0005510,ACEPTADA,0000128201,1.0,1.0,1.0,11.7705,VENTA TOTAL,202404
1842,369,RYYAGUANA,,1842-500-0005561,ACEPTADA,0000129814,1.0,1.0,2.0,19.652,VENTA TOTAL,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-500-0005281,ACEPTADA,0000142027,0.125,3.0,0.125,1.23,VENTA TOTAL,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-500-0005495,ACEPTADA,0000109537,0.35714285714285715,10.0,0.35714285714285715,12.188,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-500-0005272,ACEPTADA,0000137375,1.0,1.0,1.0,23.4201,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005370,ACEPTADA,0000131022,3.0,3.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,,1842-501-0005243,ACEPTADA,0000136347,1.0,30.0,1.0,14.2704,VENTA TOTAL,202404
1842,369,JAQUINTERO,,1842-501-0005412,ACEPTADA,0000128227,1.0,1.0,1.0,14.0,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005440,ACEPTADA,12059,1.0,1.0,1.0,2.08,VENTA TOTAL,202404
1842,369,JAQUINTERO,MGVASQUEZ,1842-500-0005594,ACEPTADA,0000138071,1.0,1.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005539,ACEPTADA,28870,1.0,30.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,MLCHAMBA,1842-501-0005413,ACEPTADA,0000132389,1.0,1.0,,,SIN VENTA,202404
1842,369,JAQUINTERO,,1842-501-0005567,ACEPTADA,22416,1.0,1.0,1.0,1.1,VENTA TOTAL,202404
1842,369,GCLOPEZ,BRESPINOZA,1842-501-0005520,ACEPTADA,06150,1.0,1.0,,,SIN VENTA,202404
1842,369,GCLOPEZ,MLCHAMBA,1842-501-0005587,ACEPTADA,0000137387,0.1,10.0,0.1,14.0,VENTA TOTAL,202404
1842,369,GCLOPEZ,MGVASQUEZ,1842-501-0005303,ACEPTADA,0000115843,0.4,8.0,0.4,7.068,VENTA TOTAL,202404
1842,369,GCLOPEZ,ACVASQUEZ,1842-501-0005257,ACEPTADA,0000117040,1.0,1.0,1.0,3.664,VENTA TOTAL,202404
1842,369,GCLOPEZ,PJCARRION,1842-501-0005519,ANULADA,0000106794,1.0,1.0,,,ANULADA,202404
